PART_NO,ITEM_DESC,VOLUME,SURF_A,PC1,PC2,Distance
14-21331-000,"BKT-PLMB,CLR,RTN,SFA,SPLAY",44283.5,21671.7,-0.5385402585131708,0.0800398496853415,0.8101699349172342
14-21339-000,"BKT-PLMB,CLR,RTN,SBA,SPLAY",30680.7,15682.8,-0.5729795333597876,0.09178640827950213,0.8462507453722627
14-21339-001,"BKT-PLMB,CLR,RTN,SBA,SPLAY",30614.2,15671.4,-0.5730789601576028,0.09177489720932047,0.8463458538191564
14-21340-000,"BKT-PLMB,CLR,RTN,SBA,SPLAY",18722.7,11429.9,-0.599352914418553,0.0982109919622221,0.8733770374694416
14-21390-000,"BRKT-MTG,STRG RSVR,SERVOTWIN",268607.0,69011.8,-0.16888649684552226,0.08461121330497656,0.454946004780667
14-21496-010,"BRKT, PLMB,STRG,RHD,XOVER",11929.3,8850.69,-0.6149647329776333,0.10248979830400627,0.8895313066350822
14-21522-010,"BRKT-STEERING COLUMN MOUNT,42N",774550.0,377797.0,1.4437915362431797,-0.6840331694384688,1.3334956202406305
14-21523-010,"BRKT-PLATE,STR CLMN MOUNT,42N",76022.3,38138.6,-0.44857072071038673,0.04301820368376443,0.7149618783294514
14-21579-000,"BRKT-SUPT,STRG PLMB,EB2",89256.4,50022.0,-0.3917100708923589,0.008235190540291103,0.6535119655869897
14-21614-000,"BRKT-PLMB,FRONT,ENG C/M",11853.5,9623.14,-0.6120494283523138,0.09944804119155634,0.886063572620851
14-21741-000,"BRKT-PASS THROUGH,EHDX",31237.6,24769.6,-0.5374767389020689,0.05721265590730938,0.804988781623746
14-21764-000,"BRKT-STEERING COLUMN,UPPER LH",42005.1,20429.9,-0.5452290383387398,0.08292771464708862,0.817294359166799
14-21765-000,"BRKT-STEERING COLUMN,UPPER RH",42005.1,20429.9,-0.5452290383387398,0.08292771464708862,0.817294359166799
14-21787-000,"BRKT-ROUTING,CROSS CAR",270736.0,158239.0,0.17694522968404752,-0.2576688332100756,0.1966435807463849
14-21800-000,"BRKT-STANDOFF,STEERING,OCT",34861.5,24497.4,-0.5355035643383613,0.061285011265917524,0.8037376262571535
14-21812-000,"BRKT-RTG,X-MEMBER",14735.0,10636.0,-0.6057403730440651,0.09794601545673769,0.8795816282748415
14-21814-000,"BRKT-ROUTING,FR,X-MEMBER",39712.7,21877.2,-0.5415604527127158,0.0754348588166119,0.8122519535474255
14-21829-000,"BRKT-MTG,STRG RSVR",132698.0,49627.0,-0.3569976949729199,0.045993769303175,0.6254757686785549
15-10198-010,"BRKT,CLEVIS FLANGE",1459810.0,324952.0,1.8116122989041468,0.09132326223982794,1.5646351019772675
15-13116-001,BRKT-REAR CLOSING X/M MTG,301002.0,89354.4,-0.06342509304084441,0.033192399481649516,0.3382411807418409
15-13116-002,BRKT-REAR CLOSING X/M MTG,148535.0,44615.8,-0.36311069899335857,0.07852666829304267,0.6386378542889493
